
#CC  	mndaadendaan	mn_aadendaan	
#CC  	mndaadenmaa	mn_aadenmaa	
#CC  	nmiinzis	_miinjis	
#CC sync 	__damoojige	gndamooj_ge	
finalV nDel  	gtwena	gtwe__	
Kwa/Ko ccw 	dgwamwaa	dg_om_aa	
Kwa/Ko sync #b/#p	pangwage	_bngo'ge	
a/i  	bdignigo	bdagnigo	
a/i  	bmikzhiwe	bmakzhiwe	
a/i  	bshigiish-dbikat	bshagiish-dbikat	
a/i  	bzagwiindaakji	bzigwiindaakji	
a/i  	bzagwiindkishin	bzigwiindkishin	
a/i  	bzagwiindoode	bzigwiindoode	
a/i  	bzagwiinjgwaashkni	bzigwiinjgwaashkni	
a/i  	bzagwiinjnaashkawaa	bzigwiinjnaashkawaa	
a/i  	bzagwiinse	bzigwiinse	
a/i  	dnaza	dniza	
a/i  	gniwaabmaa	gnawaabmaa	
a/i  	gniwaabndamwaa	gnawaabndamwaa	
a/i  	gniwendmawaa	gnawendmawaa	
a/i  	gniwenmaa	gnawenmaa	
a/i  	manj	minj	
a/i  	na'aa	ni'aa	
a/i  	ni'ii	na'ii	
a/i  	ni+Interj	____n___a	
a/i  	nsistam	nsastam	
a/i aa/ii 	shki'aawan	shka'iiwan	
a/i shkDelsh 	ns_itaagot	nsastaagot	
a/i shkDelsh 	ns_itaan	nsastaan	
a/o  	aaboojbizo	aaboojbiza	
a/o  	bmase	bmose	
a/o  	nango	nongo	
a/o  	ndomaakmaanaa	ndamaakmaanaa	
a/o  	ndomaakme	ndamaakme	
a/o  	nokaazan	nakaazan	
a/o  	nokaazan	nakaazan	
a/o  	nokii	nakii	
a/o  	nokii'aa	nakii'aa	
a/o  	nokiimgat	nakiimgat	
a/o  	nokiitaan	nakiitaan	
a/o  	nonda	nanda	
a/o  	nonda	nanda	
a/o finalV 	dnow_	dnawa	
bnC/m  	_mgishin	bngishin	
bnC/m  	giikiimngoshi	giikiibngoshi	
bnC/m  	giikiimngoshnaagzi	giikiibngoshnaagzi	
bnC/m  	niimna	niibna	
bnC/m  	zhiibaawaa_mjigan	zhiibaawaabnjigan	
bonusVV  	Nenbozhoo	Nenbosh__	
bonusVV  	aabdewebzo	aabd_webza	
bonusVV  	aabooj_____gwaashkni	aaboojdakiigwaashkni	
bonusVV  	aanzy__ep_naa	aanzyaanpinaa	
bonusVV  	baapaashkzwaa	b___aashkzwaa	
bonusVV  	daanzhewebdoon	daanzh__ebdoon	
bonusVV  	daanzhewebjige	daanzh__ebjige	
bonusVV  	daanzhewebnaa	daanzh__ebnaa	
bonusVV  	daanzhewen'ge	daanzh__en'ge	
bonusVV  	daanzhewenaa	daanzh__enaa	
bonusVV  	daanzhewenaan	daanzh__enaan	
bonusVV  	ggaanwaakgaade	ggaan___'gaade	
bonusVV  	ggwaansag___kamik	ggwaansagaadkamik	
bonusVV  	giikiijganzhii	g___iijganzhii	
bonusVV  	giikiijiingwe	g___iijiingwe	
bonusVV  	giikiijndibe	g___iijndibe	
bonusVV  	giikiijndibeshin	g___iijndibeshin	
bonusVV  	giikiijnike	g___iijnike	
bonusVV  	giikiijnikeshin	g___iijnikeshin	
bonusVV  	giikiijninjii	g___iijninjii	
bonusVV  	giikiijninjiishin	g___iijninjiishin	
bonusVV  	giikiijzide	g___iijzide	
bonusVV  	gzhiiw_____se	gzhiiwgaadese	
bonusVV  	maajiiwewebde	maajii__yebde	
bonusVV  	maawndoonaashk__ge	maawndoonaashkaage	
bonusVV  	mbiigwewejiignaamaa	mbiigwewe___gnaamaa	
bonusVV  	md_wechge	mdewechge	
bonusVV  	mdaasoobii'gan	mdaas__bii'gan	
bonusVV  	miinensmin'gaawansh	miinens____gaawansh	
bonusVV  	miish___zhe	miishaakzhe	
bonusVV  	miishaakgaade	miish___gaade	
bonusVV  	miishaaknike	miish___nike	
bonusVV  	mooshknad__waa	mooshknadmawaa	
bonusVV  	mshkaw___din	mshkawaakdin	
bonusVV  	mshkaw___ji	mshkawaakji	
bonusVV  	nbe___shkne	nbejiishkne	
bonusVV  	ne___bgaanh	nenaabgaan_	
bonusVV  	ngodwaasoobii'gan	ngodwaas__bii'gan	
bonusVV  	nshkaazaabmaa	nshk___aabmaa	
bonusVV  	wiigbiishaatik	wiigb____aatik	
bonusVV  	wiigw___aatik	wiigwaasaatik	
bonusVV  	wiikwejiipdoon	wiikwe___pdoon	
bonusVV  	wiikwejiipnaa	wiikwe___pnaa	
bonusVV  	wiinaabiigzide	wiin______zide	
bonusVV  	yaakwaakgaade	y____aakgaade	
bonusVV  	zhit__waa	zhitmawaa	
bonusVV clusterVoi 	aayaan'koobza	___aan'koopza_	
bonusVV e/i 	kajg___ishin	kajgaateshin	
bonusVV gnDelg 	gz___ii_naagne	gziibiignaagne	
bonusVV n’k 	aayaan'koobde	___aan_koobde_	
bonusVV y/w 	maajiiwewebza	maajii__yebza	
ccw  	aabdwewebde	aabd_ewebde	
ccw  	aabdwewebza	aabd_ewebza	
ccw  	aabdwewesin	aabd_ewesin	
ccw  	aagnwetam	aagn_etam	
ccw  	daabyaan	daab_aan	
